id_partido,id_jugador,tiempo_jugado,puntos_marcados,puntuacion
22400679,1629645,19,7,3.8
22400605,1642268,36,20,12.4
22400253,1641824,5,2,1.5
22400391,203500,11,2,6.9
22400360,1631323,18,6,6.3
22400691,1630198,23,6,2.4
2052400111,1630618,19,10,5.8
22400054,1629614,18,6,3.9
22400109,1628380,12,11,12.6
22400397,1628449,18,16,19.1
22400099,1629028,30,17,17.4
22400044,1629675,22,8,6.8
22400001,1631248,0,0,0
22400839,1641774,18,8,3.1
12400009,1626164,14,12,6.3
2022400033,1642389,39,26,23.5
22400338,1628408,2,0,0
22400750,1631222,12,7,8.8
22401206,1630558,20,12,11.2
2052400161,1641817,32,25,22.6
22400455,1641724,15,9,6.9
22400168,1627826,36,17,13
22400831,1641715,0,0,0
2022400095,1641817,32,15,9.3
22400567,1629640,26,17,11.9
22400744,1629027,34,35,25.6
12400038,1629640,23,20,18.4
22400778,1641796,7,3,1.9
22400035,203897,30,18,12.3
22400709,1626145,16,0,0
22400716,1631133,2,0,0.7
22401229,1629726,0,0,0
22400615,1641854,0,0,0
2052400089,1641789,28,16,7.5
22400036,1629130,31,11,11.5
22400628,1627780,10,3,1.2
22400793,1630579,17,0,0.2
22400789,203083,12,8,8
22400655,1630172,28,11,11.3
22400092,1630243,3,0,-1
22400832,1628963,0,0,0
22400392,1642281,8,4,3.2
22400277,1631216,0,0,0
22400474,1629636,28,16,17.1
22400575,1629028,23,14,10.3
22400792,1626166,17,3,1.8
22400604,1630531,6,0,0
22400179,1630231,18,10,9.6
22400539,1630346,3,8,7.7
22400621,1641716,11,2,-0.4
22400605,1630530,44,24,19.4
22400218,1628436,26,8,9.8
22400370,203084,18,6,2
22400206,1630545,0,0,0
22400089,1631323,18,11,7.8
22400791,1629636,28,18,19.1
2052400229,1630695,0,0,0
22400578,1630574,1,0,0
22400015,203084,27,8,8.5
22400590,1630241,6,0,-1.5
22400527,1628464,17,12,11
2022400049,1642439,32,19,14.6
22400068,1630544,28,24,16.6
22400534,1630595,37,22,21
22400313,1641705,36,34,34.5
22400400,1631172,2,0,-0.4
2022400324,1630811,0,0,0
2022400334,1629098,34,17,10.1
22400312,1630703,0,0,0
2022400189,1642024,24,7,1.8
22400702,1641708,37,25,27
22400787,204060,2,0,-0.7
22400747,1631169,0,0,0
22400341,1630551,36,23,22
22400457,1642276,16,10,10.9
22400039,1630559,30,15,12.7
2052400141,1641801,40,32,31.5
22400233,1642271,28,9,11.6
22400044,1630568,0,0,0
22400685,1642366,19,9,8.8
22400451,1631103,7,5,2.9
22400335,1629674,11,2,3
22400642,1630178,43,31,27.2
2022400119,1642024,33,21,19.5
22400683,1627759,34,28,21.8
2052400130,1630644,32,23,12.9
22400331,203897,33,11,7.9
22401203,202693,0,0,0
22400091,1631114,32,24,19.3
22400398,1631157,22,8,7.1
22400773,1642258,30,16,11.9
2052400068,1631197,29,14,4.4
22400848,1630527,0,0,0
22400064,1627827,29,8,5.9
22400183,1631103,22,17,13.8
22400058,203999,40,38,35.3
22400183,1629057,0,0,0
22400441,1630200,13,2,2.9
12400045,1630543,7,4,4.4
22400273,203915,27,7,6.5
22400455,1631204,6,0,-0.7
22400576,1628415,33,12,4.9
22400050,203552,5,2,2
22400464,1627759,0,0,0
22400034,1641732,6,5,3.3
22400396,1631213,22,14,13
22400379,1629012,32,18,15.3
22400097,1630543,5,2,1.3
12400006,1628970,21,10,7.5
22400014,1641730,12,5,2.2
22400125,1630198,18,6,7
22400051,202685,18,13,13.9
12400015,1628970,20,14,11.5
22400366,1631218,19,7,9.9
2022400214,1642422,33,27,23.6
22400088,1642276,0,0,0
22400447,202704,17,3,2.9
2022400135,1641801,33,25,21.6
22401230,1630578,32,13,6.5
22400709,1631200,0,0,0
22400214,1630526,19,15,15.2
22400507,1641816,0,0,0
22400638,1630243,0,0,0
22400159,1630222,0,0,0
22400591,1630578,30,23,22.5
22400195,1642261,16,2,-2
22400766,1631323,25,8,6.2
22400744,1642358,7,2,0.4
22400205,1642272,30,27,18.5
22401212,1628366,19,10,12.9
2022400149,1631199,34,31,27
22400121,1641731,34,27,26.7
12400057,1641752,0,0,0
2022400264,1630561,30,21,16.2
22400781,1628381,26,17,14.2
22400259,1630539,2,0,0
12400019,1642385,8,1,-1.6
22400098,1629651,21,10,12.6
2022400331,1642382,31,18,22.2
22400760,1628398,33,21,14.9
22400831,1630256,1,0,-2.8
12400033,1627780,12,0,0.6
22400167,1630178,40,32,23.8
22400384,1630346,0,0,0
2052400177,1631131,29,12,16.4
22400277,1641710,22,10,4.5
22400756,202709,0,0,0
22400164,1642270,16,4,3.1
22400329,1628368,37,18,10.6
22400594,203081,39,25,16.8
22400676,1629111,16,8,9.2
12400070,1629659,13,9,3.4
22400404,1629629,17,7,8.3
2022400118,1641803,0,0,0
22400614,201144,32,18,22.4
22400210,1629680,0,0,0
22400043,1631216,2,0,-3.1
22400732,1629014,34,30,25.8
2022400306,1631232,40,28,18.7
22400832,1631102,0,0,0
12400043,203932,27,12,12
22400712,1630288,7,0,-0.7
2022400265,1642461,0,0,0
22401220,1628379,18,12,11.1
22400043,1629661,29,14,12.2
22400577,1630175,31,23,17.6
22400718,1641854,15,16,12.4
22401205,1628401,30,23,21.2
12400018,1629631,23,4,1.9
22400582,1628379,26,17,15.4
22400682,1630534,21,4,2.2
22400187,1627732,27,8,10.8
2052400037,1642484,30,4,-0.6
22400125,1631104,12,5,0.2
22400476,1628379,31,11,13.9
22400646,203081,39,29,27.1
22400621,1630174,18,3,-0.9
22400500,1631159,0,0,0
22400547,1626220,21,9,3.7
22400479,1628978,26,5,3.9
22400601,1629675,32,29,20.5
2022400163,203901,16,13,10.8
22400170,1630175,0,0,0
2022400125,1630222,30,12,10.4
22400755,1642281,13,5,2.4
22400741,203915,23,10,6.9
22400608,1631216,27,3,4.1
22400380,1641741,21,11,9.2
22400608,1642419,1,0,0
22400396,1642352,1,0,-0.1
2022400332,1641732,31,10,4.1
22401202,1629027,36,22,16.6
22400261,1642419,7,3,2
2022400121,1642280,36,28,17.5
22400447,1641741,13,7,4.5
22400380,1627824,22,7,4.9
22400113,1630592,20,11,12.2
32400011,1629639,7,6,3.7
22400216,1641732,1,0,-1
22400085,2544,34,21,17.9
22400551,1631106,0,0,0
22400729,204060,0,0,0
12400048,1628470,0,0,0
22400361,1642349,9,5,4.3
2022400204,1630644,33,18,14.5
22400522,203078,33,25,21.2
22400123,1630581,31,20,20.3
22400467,1627741,20,3,-0.3
12400053,1630256,7,3,3.6
22401221,1627736,40,28,20.6
22400469,1630194,5,2,4.3
22400691,1628392,26,16,19.5
22400801,1629638,42,16,12.6
22400262,1642268,23,4,-3.9
22400047,1628436,0,0,0
2022400299,1631466,0,0,0
22400509,1642281,0,0,0
22400005,1631157,22,12,11.4
22400485,1641744,20,5,3.5
22400252,202684,21,8,9.4
22400785,202685,13,4,4.5
22400506,1631117,30,21,25.4
22400513,1629661,0,0,0
2022400152,1631221,0,0,0
22400522,1630249,26,12,12.3
22400067,1630534,25,3,7.3
22400836,1628369,33,27,17.2
22400239,1631386,0,0,0
2022400092,1641738,34,22,16.1
22400329,1631165,2,0,0
22400398,203897,33,14,8.8
22400443,1630540,17,8,11
22400809,1641715,9,1,0.6
22400439,1642352,0,0,0
22400374,1627752,25,5,1.9
2022400134,1631209,37,21,19
22400517,1630567,37,24,21.8
22401212,1641706,37,21,7.3
22400024,1628464,0,0,0
22400245,1629130,21,13,6.1
22400003,1641710,24,8,2.8
22401217,1630202,36,15,13.5
22400710,1641809,0,0,0
22400257,1628973,36,36,29.7
12400035,1631101,0,0,0
22400235,1626179,27,9,4.9
22400159,203926,0,0,0
2052400018,1629650,29,27,30.4
22400786,1629023,0,0,0
22400088,1629130,15,4,1.3
22400419,1630574,0,0,0
2022400149,1631247,0,0,0
22400090,1642273,26,2,-0.1
22400175,1642281,0,0,0
22400263,1641724,10,2,3.1
22400768,1629004,0,0,0
22400531,1631124,31,12,5
22400574,1642382,17,11,8.5
22400019,1627780,10,2,1.3
22400221,1641794,8,2,-0.5
2022400114,1641794,30,10,11.3
22400014,1628973,34,37,28.2
22400161,1631210,0,0,0
22400412,1641774,0,0,0
22400027,1629003,0,0,0
22400841,1630168,31,13,11.3
22400775,1631105,29,16,22.6
22401201,1626192,0,0,0
22400175,1627777,21,9,6.9
2022400260,1631214,35,21,13.4
2022400176,1630227,39,9,9.4
12400066,201587,13,0,0.2
22400410,1641767,21,5,3.6
12400013,1641794,25,17,12.9
22400109,203500,13,6,3.8
22400405,1630572,0,0,0
22400700,1628398,30,22,12.1
22400836,203501,28,9,9
2022400245,1631243,34,17,16.1
22400762,202691,26,19,12.9
22400637,1628464,11,0,1.8
22400562,1630567,35,18,17.2
22400194,1631170,0,0,0
2022400247,1630644,35,39,34
12400015,1642354,16,5,3.4
22400631,1631250,0,0,0
22400241,1629659,9,12,9.3
22400056,1629656,20,8,3
22400405,1642359,0,0,0
22400654,203468,36,22,12.8
22400535,1630590,15,5,8.5
22400603,202684,25,1,3.8
22400244,1630172,33,8,3.7
22400434,1641765,13,4,2.4
22400113,1630192,0,0,0
22400008,1629675,33,28,21
22400226,1629638,31,13,10.6
22400052,1641748,19,8,5.9
22400454,1631108,28,5,3.1
