id_partido,fecha,equipo_local,equipo_visitante,gana_local,url
2022400339,2025-02-27,San Diego Clippers,Indiana Mad Ants,t,https://www.nba.com/game/2022400339
22400848,2025-02-27,New Orleans Pelicans,Phoenix Suns,t,https://www.nba.com/game/0022400848
22400849,2025-02-27,Minnesota Timberwolves,Los Angeles Lakers,f,https://www.nba.com/game/0022400849
22400845,2025-02-27,Golden State Warriors,Orlando Magic,t,https://www.nba.com/game/0022400845
2022400337,2025-02-27,Texas Legends,Sioux Falls Skyforce,f,https://www.nba.com/game/2022400337
22400847,2025-02-27,Dallas Mavericks,Charlotte Hornets,t,https://www.nba.com/game/0022400847
22400846,2025-02-27,Denver Nuggets,Milwaukee Bucks,f,https://www.nba.com/game/0022400846
2022400338,2025-02-27,Windy City Bulls,Birmingham Squadron,t,https://www.nba.com/game/2022400338
2022400336,2025-02-27,Long Island Nets,Austin Spurs,f,https://www.nba.com/game/2022400336
22400839,2025-02-26,Washington Wizards,Portland Trail Blazers,f,https://www.nba.com/game/0022400839
22400836,2025-02-26,Detroit Pistons,Boston Celtics,t,https://www.nba.com/game/0022400836
22400841,2025-02-26,Miami Heat,Atlanta Hawks,t,https://www.nba.com/game/0022400841
22400837,2025-02-26,Toronto Raptors,Indiana Pacers,f,https://www.nba.com/game/0022400837
2022400331,2025-02-26,Raptors 905,Oklahoma City Blue,f,https://www.nba.com/game/2022400331
22400840,2025-02-26,Brooklyn Nets,Oklahoma City Thunder,f,https://www.nba.com/game/0022400840
2022400335,2025-02-26,Salt Lake City Stars,College Park Skyhawks,t,https://www.nba.com/game/2022400335
22400844,2025-02-26,San Antonio Spurs,Houston Rockets,f,https://www.nba.com/game/0022400844
2022400332,2025-02-26,Capital City Go-Go,Greensboro Swarm,f,https://www.nba.com/game/2022400332
2022400333,2025-02-26,Stockton Kings,Memphis Hustle,t,https://www.nba.com/game/2022400333
2022400334,2025-02-26,Delaware Blue Coats,Rio Grande Valley Vipers,t,https://www.nba.com/game/2022400334
22400838,2025-02-26,New York Knicks,Philadelphia 76ers,t,https://www.nba.com/game/0022400838
22400843,2025-02-26,Utah Jazz,Sacramento Kings,f,https://www.nba.com/game/0022400843
22400842,2025-02-26,LA Clippers,Chicago Bulls,t,https://www.nba.com/game/0022400842
22400830,2025-02-25,Orlando Magic,Cleveland Cavaliers,f,https://www.nba.com/game/0022400830
22400832,2025-02-25,Phoenix Suns,Memphis Grizzlies,f,https://www.nba.com/game/0022400832
2022400330,2025-02-25,Austin Spurs,Mexico City Capitanes,t,https://www.nba.com/game/2022400330
2022400328,2025-02-25,Windy City Bulls,Wisconsin Herd,t,https://www.nba.com/game/2022400328
22400829,2025-02-25,Toronto Raptors,Boston Celtics,f,https://www.nba.com/game/0022400829
2022400011,2025-02-25,Rip City Remix,Valley Suns,f,https://www.nba.com/game/2022400011
22400831,2025-02-25,Houston Rockets,Milwaukee Bucks,t,https://www.nba.com/game/0022400831
2022400326,2025-02-25,Motor City Cruise,Maine Celtics,f,https://www.nba.com/game/2022400326
22400833,2025-02-25,New Orleans Pelicans,San Antonio Spurs,t,https://www.nba.com/game/0022400833
2022400329,2025-02-25,Sioux Falls Skyforce,Texas Legends,t,https://www.nba.com/game/2022400329
2022400325,2025-02-25,Grand Rapids Gold,Cleveland Charge,f,https://www.nba.com/game/2022400325
2022400327,2025-02-25,Long Island Nets,Westchester Knicks,t,https://www.nba.com/game/2022400327
22400835,2025-02-25,Los Angeles Lakers,Dallas Mavericks,t,https://www.nba.com/game/0022400835
22400834,2025-02-25,Golden State Warriors,Charlotte Hornets,t,https://www.nba.com/game/0022400834
22400822,2025-02-24,Indiana Pacers,Denver Nuggets,f,https://www.nba.com/game/0022400822
2022400322,2025-02-24,Grand Rapids Gold,Delaware Blue Coats,t,https://www.nba.com/game/2022400322
22400826,2025-02-24,Minnesota Timberwolves,Oklahoma City Thunder,t,https://www.nba.com/game/0022400826
2022400321,2025-02-24,Greensboro Swarm,Indiana Mad Ants,f,https://www.nba.com/game/2022400321
22400821,2025-02-24,Detroit Pistons,LA Clippers,t,https://www.nba.com/game/0022400821
22400823,2025-02-24,Philadelphia 76ers,Chicago Bulls,f,https://www.nba.com/game/0022400823
22400825,2025-02-24,Atlanta Hawks,Miami Heat,t,https://www.nba.com/game/0022400825
2022400323,2025-02-24,San Diego Clippers,Iowa Wolves,t,https://www.nba.com/game/2022400323
22400828,2025-02-24,Sacramento Kings,Charlotte Hornets,t,https://www.nba.com/game/0022400828
2022400324,2025-02-24,Salt Lake City Stars,College Park Skyhawks,t,https://www.nba.com/game/2022400324
22400824,2025-02-24,Brooklyn Nets,Washington Wizards,f,https://www.nba.com/game/0022400824
22400827,2025-02-24,Utah Jazz,Portland Trail Blazers,f,https://www.nba.com/game/0022400827
2022400319,2025-02-23,Memphis Hustle,Maine Celtics,t,https://www.nba.com/game/2022400319
22400815,2025-02-23,Orlando Magic,Washington Wizards,t,https://www.nba.com/game/0022400815
2022400317,2025-02-23,Windy City Bulls,Capital City Go-Go,t,https://www.nba.com/game/2022400317
22400816,2025-02-23,Toronto Raptors,Phoenix Suns,t,https://www.nba.com/game/0022400816
2022400315,2025-02-23,Birmingham Squadron,Cleveland Charge,t,https://www.nba.com/game/2022400315
22400818,2025-02-23,New Orleans Pelicans,San Antonio Spurs,t,https://www.nba.com/game/0022400818
22400813,2025-02-23,Indiana Pacers,LA Clippers,t,https://www.nba.com/game/0022400813
22400812,2025-02-23,Golden State Warriors,Dallas Mavericks,t,https://www.nba.com/game/0022400812
22400817,2025-02-23,Milwaukee Bucks,Miami Heat,t,https://www.nba.com/game/0022400817
2022400320,2025-02-23,Rip City Remix,Texas Legends,f,https://www.nba.com/game/2022400320
2022400316,2025-02-23,Long Island Nets,Osceola Magic,t,https://www.nba.com/game/2022400316
22400811,2025-02-23,New York Knicks,Boston Celtics,f,https://www.nba.com/game/0022400811
22400819,2025-02-23,Cleveland Cavaliers,Memphis Grizzlies,t,https://www.nba.com/game/0022400819
22400820,2025-02-23,Minnesota Timberwolves,Oklahoma City Thunder,f,https://www.nba.com/game/0022400820
22400814,2025-02-23,Atlanta Hawks,Detroit Pistons,f,https://www.nba.com/game/0022400814
2022400318,2025-02-23,Iowa Wolves,San Diego Clippers,f,https://www.nba.com/game/2022400318
2022400313,2025-02-22,Texas Legends,Rip City Remix,f,https://www.nba.com/game/2022400313
2022400309,2025-02-22,Greensboro Swarm,Mexico City Capitanes,t,https://www.nba.com/game/2022400309
22400809,2025-02-22,Houston Rockets,Utah Jazz,f,https://www.nba.com/game/0022400809
22400806,2025-02-22,Phoenix Suns,Chicago Bulls,t,https://www.nba.com/game/0022400806
2022400312,2025-02-22,Valley Suns,South Bay Lakers,f,https://www.nba.com/game/2022400312
